study,n,esm2_wtm,blosum62,hydropathy,n_mut
"Bell et al, 2022",6,-0.942857142857143,-1.0,1.0,1.0
"Brott et al, 2021",9,-0.8151548326115373,-0.6610169491525424,0.4537975356806497,0.5949420048839477
"Chen et al, 2021",22,-0.18442455423009718,0.007172744855754736,0.10222885008422226,0.09515721361396129
"Cui et al, 2021 (NanoPET)",86,0.16645776450634736,0.27278441251595315,-0.20881912389504398,-0.14686014153776653
"Cui et al, 2021 (PET film)",66,-0.668657871124619,-0.6899287768032213,0.26206343764265144,0.9142967123505282
"Erickson et al, 2022 (Project74)",43,-0.2731753796300675,-0.2731753796300675,0.2731753796300675,0.2732282539903091
"Furukawa et al, 2019",11,0.3470355813826896,0.14367394278317272,-0.39269815788041185,0.34327676859538353
"Guo et al, 2022",14,0.7475233834410858,0.7269835580263606,0.3189853246829167,-0.5173964776109785
"Han et al, 2017",12,0.5664335664335665,0.054692826519335186,0.364914527027702,-0.4803844614152615
"Joo et al, 2018",15,0.6588875060715953,0.19466714520798853,-0.0703981440979645,-0.2982100259896135
"Li Q. et al, 2022",8,-0.38095238095238104,-0.3273268353539886,0.34731161595484505,0.7759705701987263
"Li Z. et al, 2022",7,0.5714285714285715,0.22454435656953595,0.43244998209386837,0.47809144373375745
"Liu et al, 2018",18,0.20743034055727552,-0.31694139053441467,-0.1128369830635479,-0.35337091141177956
"Lu et al, 2022",6,-0.3768511731740915,-0.43482827673933633,0.6087595874350709,0.20291986247835694
"Ma et al, 2018",9,-0.3,0.31634332522625586,-0.41666666666666663,-0.13693063937629152
"Nakamura et al, 2021",24,0.3455345891062771,-0.32708859524770084,-0.04421111521521762,0.4486674904867952
"Pfaff et al, 2022",30,0.385539488320356,0.02100270681357835,0.022942438421308095,0.220658822430666
"Sagong et al, 2022",7,-0.03571428571428572,0.5858449331643023,0.7142857142857144,0.20412414523193148
"Son et al, 2019",17,0.03556101220208392,0.010111848928487622,-0.08358957049444396,0.731080383820659
"Sonnendecker et al, 2021",8,,,,
"Then et al, 2016",9,-0.05882560647712125,-0.5446857826007097,0.359870718097794,0.6437816003588991
"Tournier et al, 2020",18,0.29411764705882354,0.04259837398647827,-0.02795044534601645,-0.30980654342679387
"Wang et al, 2022",13,0.03314967720658979,-0.18337891245524837,0.011049892402196596,0.33310680708676044
"Wei et al, 2016",12,0.5110029952202445,0.03825650708739725,0.08636670341750609,0.466545974679638
"Zeng et al, 2022",34,-0.0006203687618760324,-0.18223735012038472,-0.5005165616805357,0.6116019995279015
